league,matches,goals_scored,shots,yellow_cards,red_cards,possession,pass_accuracy,aerial_duels_won,rating,shots_conceded,tackles,interceptions,fouls_conceded,offsides,shots_on_target,dribbles_won,fouls_won
Premier League,12,26,14.5,16,2,61.0,87.6,12.8,6.79,8.4,16.3,7.6,9.7,16.3,5.3,8,10.7
Champions League,4,9,13.5,5,0,57.9,87.0,11.5,6.78,8.5,11.5,7.8,11,11.5,5.3,10.3,8.8
League Cup,2,2,12,2,0,65.4,87.8,15.5,6.56,11.5,13,6.5,11,13,3,8,9.5
Community Shield,1,1,7,3,0,49.3,75.0,0,6.38,8,0,0,6,0,3,0,11
Total / Average,19,38,13.6,26,2,60.2,86.8,12.1,6.74,8.7,14.1,7.1,9.9,14.1,4.9,8.1,10.2
