league,matches,goals_scored,shots,yellow_cards,red_cards,possession,pass_accuracy,aerial_duels_won,rating,shots_conceded,tackles,interceptions,fouls_conceded,offsides,shots_on_target,dribbles_won,fouls_won
League Cup,2,4,8.5,4,0,35.4,78.9,13.5,6.92,11.5,23.5,11.5,10.5,23.5,4.5,5.5,12.5
Premier League,12,27,13.1,33,0,53.2,84.2,11.3,6.79,12.3,15.7,6,11.4,15.7,5.9,9,12.2
Champions League,4,4,10,6,0,46.8,81.5,11.5,6.61,16.5,14.8,6.3,10.5,14.8,4.3,4.3,13
Total / Average,18,35,11.9,43,0,49.8,83,11.6,6.76,13.2,16.3,6.7,11.1,16.3,5.4,7.6,12.4
