league,matches,goals_scored,shots,yellow_cards,red_cards,possession,pass_accuracy,aerial_duels_won,rating,shots_conceded,tackles,interceptions,fouls_conceded,offsides,shots_on_target,dribbles_won,fouls_won
Premier League,12,25,14.3,30,1,61.9,88.9,9.9,6.61,12,15.6,8,11.8,15.6,6,8.8,13.7
Europa League,4,8,12.3,12,0,59.2,88.7,8,6.60,9.8,11.3,6,9,11.3,5.3,7.8,11.3
League Cup,1,0,13,3,0,60.8,86.6,8,6.33,9,24,10,16,24,2,4,6
Total / Average,17,33,13.8,45,1,61.2,88.8,9.4,6.59,11.3,15.1,7.6,11.4,15.1,5.6,8.2,12.6
