league,matches,goals_scored,shots,yellow_cards,red_cards,possession,pass_accuracy,aerial_duels_won,rating,shots_conceded,tackles,interceptions,fouls_conceded,offsides,shots_on_target,dribbles_won,fouls_won
League Cup,2,5,23.5,2,0,61.8,85.9,8.5,6.91,10,14,14,17,14,8.5,10,10.5
Europa League,4,12,18,5,0,68.5,86.9,13,6.85,8.3,17,9.5,11.5,17,7,11.3,11.5
Premier League,12,27,18.1,20,4,58.6,86.4,14.8,6.82,12.8,15.4,7.9,12.2,15.4,5.8,8.2,10.1
Total / Average,18,44,18.7,27,4,61.1,86.4,13.7,6.84,11.5,15.6,8.9,12.6,15.6,6.4,9.1,10.4
