league,matches,goals_scored,shots,yellow_cards,red_cards,possession,pass_accuracy,aerial_duels_won,rating,shots_conceded,tackles,interceptions,fouls_conceded,offsides,shots_on_target,dribbles_won,fouls_won
Premier League,12,29,14.9,28,0,53.6,86.2,8.1,6.75,10.2,14.4,6.8,10.6,14.4,5.8,8.8,12.5
League Cup,1,1,11,4,0,67.5,88.3,6,6.30,13,14,5,10,14,3,11,14
Conference League,4,9,N/A,6,0,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Total / Average,17,39,14.6,38,0,54.6,86.4,7.9,6.72,10.4,14.4,6.6,10.5,14.4,5.5,8.9,12.6
